team_name,season,conference_abbreviation,conference_name,wins,losses,adj_em,adj_o,adj_d,tempo,luck,sos_adj_em,sos_off,sos_def,ncsos_adj_em,rank_adj_em,rank_adj_o,rank_adj_d,rank_tempo,rank_luck,rank_sos_adj_em,efg_off,efg_def,to_rate_off,to_rate_def,orb_rate,drb_rate,ft_rate,opp_ft_rate,source_ratings_endpoint,source_four_factors_endpoint
Southeast Missouri,2026,OVC,,20,13,-5.809,102.389,108.198,68.9638,0.0314,-7.6984,,,,233,298,143,104,107,,,,,,,,38.812,,ratings,four-factors
Southeastern Louisiana,2026,Slnd,,9,22,-10.6155,99.83,110.445,65.5094,-0.0058,-0.614,,,,285,326,197,287,202,,,,,,,,40.3236,,ratings,four-factors
Southern,2026,SWAC,,15,16,-9.4959,104.418,113.914,70.5028,0.0427,-5.3858,,,,275,264,264,32,71,,,,,,,,41.0272,,ratings,four-factors
Southern Illinois,2026,MVC,,16,16,4.6149,104.038,99.4226,68.9915,-0.0941,2.1924,,,,117,272,29,102,353,,,,,,,,31.2799,,ratings,four-factors
Southern Indiana,2026,OVC,,7,23,-18.5886,95.7549,114.344,67.5934,-0.1049,-7.9049,,,,339,354,278,170,362,,,,,,,,37.1787,,ratings,four-factors
Southern Miss,2026,SB,,19,16,-4.3139,105.336,109.65,69.3617,0.0426,-3.5062,,,,220,254,183,77,72,,,,,,,,43.2375,,ratings,four-factors
Southern Utah,2026,WAC,,10,21,-7.1095,107.259,114.369,70.2232,-0.0455,2.5106,,,,252,212,280,37,305,,,,,,,,33.8299,,ratings,four-factors
St. Bonaventure,2026,A10,,15,16,0.9222,113.69,112.768,67.1962,-0.0415,1.508,,,,160,104,246,190,299,,,,,,,,28.8631,,ratings,four-factors
St. John's,2026,BE,,25,6,24.4241,119.726,95.3022,69.7793,0.0602,11.2651,,,,21,51,14,63,46,,,,,,,,42.5209,,ratings,four-factors
St. Thomas,2026,Sum,,24,9,5.9242,114.251,108.327,68.3391,-0.0338,-5.3043,,,,108,97,146,126,284,,,,,,,,34.4167,,ratings,four-factors
Stanford,2026,ACC,,20,11,13.7109,117.743,104.032,66.9802,0.0477,9.1717,,,,59,60,75,205,61,,,,,,,,36.3836,,ratings,four-factors
Stephen F. Austin,2026,Slnd,,27,4,9.3102,113.732,104.422,65.9514,-0.0051,-4.1513,,,,89,103,80,266,200,,,,,,,,30.5983,,ratings,four-factors
Stetson,2026,ASun,,12,21,-12.5287,105.482,118.011,66.753,0.0083,-3.5244,,,,303,250,329,219,166,,,,,,,,32.448,,ratings,four-factors
Stonehill,2026,NEC,,12,21,-17.3404,91.966,109.306,66.4306,-0.0071,-10.0414,,,,334,362,172,236,210,,,,,,,,27.319,,ratings,four-factors
Stony Brook,2026,CAA,,17,15,-5.4774,105.427,110.904,66.2919,0.064,-2.5673,,,,229,252,209,244,42,,,,,,,,28.3922,,ratings,four-factors
Syracuse,2026,ACC,,15,16,10.2875,115.161,104.873,67.5247,-0.0443,10.2109,,,,80,84,91,176,302,,,,,,,,35.9823,,ratings,four-factors
TCU,2026,B12,,21,10,17.4376,114.662,97.224,67.597,0.0104,10.7091,,,,44,92,20,168,159,,,,,,,,39.0048,,ratings,four-factors
Tarleton St.,2026,WAC,,14,17,-3.9962,104.348,108.344,69.0462,-0.0315,1.3154,,,,216,267,147,95,278,,,,,,,,41.2149,,ratings,four-factors
Temple,2026,Amer,,16,15,0.7212,112.626,111.905,65.083,-0.0622,-1.3412,,,,162,114,228,306,327,,,,,,,,41.0885,,ratings,four-factors
Tennessee,2026,SEC,,21,10,26.1316,121.445,95.3134,65.2891,-0.0575,14.4103,,,,14,36,15,297,321,,,,,,,,38.0126,,ratings,four-factors
Tennessee Martin,2026,OVC,,22,11,-4.8399,100.624,105.464,64.2082,0.0476,-8.4851,,,,223,321,97,337,63,,,,,,,,37.3945,,ratings,four-factors
Tennessee St.,2026,OVC,,23,9,-1.7599,109.317,111.077,70.286,0.0698,-7.8796,,,,186,173,211,36,35,,,,,,,,33.5,,ratings,four-factors
Tennessee Tech,2026,OVC,,13,18,-13.3163,102.74,116.056,66.9072,-0.0276,-7.2863,,,,314,291,304,211,263,,,,,,,,35.4695,,ratings,four-factors
Texas,2026,SEC,,18,13,19.9364,126.204,106.268,66.7776,-0.0759,14.0173,,,,33,9,111,217,341,,,,,,,,46.1671,,ratings,four-factors
Texas A&M,2026,SEC,,21,10,19.781,120.562,100.781,70.6814,-0.0047,10.9148,,,,34,44,37,27,196,,,,,,,,37.7556,,ratings,four-factors
Texas A&M Corpus Chris,2026,Slnd,,17,14,-1.3404,104.497,105.838,66.6407,0.0181,0.0331,,,,180,262,103,225,135,,,,,,,,42.2842,,ratings,four-factors
Texas Southern,2026,SWAC,,12,17,-12.8845,102.269,115.154,68.6525,-0.0247,-8.3635,,,,308,299,293,113,255,,,,,,,,37.8827,,ratings,four-factors
Texas St.,2026,SB,,19,13,-6.6895,104.191,110.88,66.0835,0.0838,-6.5796,,,,245,268,208,254,24,,,,,,,,33.9744,,ratings,four-factors
Texas Tech,2026,B12,,22,9,26.1188,126.176,100.057,66.2787,-0.0025,15.3247,,,,17,10,33,246,192,,,,,,,,27.359,,ratings,four-factors
The Citadel,2026,SC,,11,22,-20.1515,100.954,121.106,64.4158,0.028,-5.2182,,,,346,314,352,329,115,,,,,,,,30.0407,,ratings,four-factors
Toledo,2026,MAC,,17,14,2.6066,114.906,112.3,67.9682,-0.0649,-1.0636,,,,135,88,236,141,328,,,,,,,,31.1224,,ratings,four-factors
Towson,2026,CAA,,19,14,1.0027,105.843,104.841,63.7405,0.0258,-0.9047,,,,157,237,90,343,121,,,,,,,,30.4945,,ratings,four-factors
Troy,2026,SB,,21,11,1.0872,110.743,109.656,65.1158,0.0253,-2.8337,,,,153,145,185,305,122,,,,,,,,36.3938,,ratings,four-factors
Tulane,2026,Amer,,17,14,-3.6271,107.975,111.603,66.9887,0.1253,0.6402,,,,210,194,217,203,7,,,,,,,,43.7615,,ratings,four-factors
Tulsa,2026,Amer,,25,6,13.9619,122.266,108.304,68.014,0.0159,0.3765,,,,58,30,145,140,143,,,,,,,,40.8493,,ratings,four-factors
UAB,2026,Amer,,20,11,3.9996,109.871,105.871,69.1171,0.0195,-0.4043,,,,122,163,104,90,130,,,,,,,,36.7432,,ratings,four-factors
UC Davis,2026,BW,,18,13,1.0626,109.269,108.207,68.3543,0.0376,-0.0979,,,,155,175,144,124,93,,,,,,,,40.8674,,ratings,four-factors
UC Irvine,2026,BW,,22,10,6.0352,104.179,98.1435,68.4515,-0.0073,-0.7037,,,,106,269,24,122,211,,,,,,,,36.1298,,ratings,four-factors
UC Riverside,2026,BW,,10,22,-7.8061,104.003,111.809,68.5954,-0.0476,1.7807,,,,260,274,225,116,307,,,,,,,,35.0432,,ratings,four-factors
UC San Diego,2026,BW,,22,10,5.2878,108.893,103.605,67.3648,0.0039,-0.7638,,,,113,178,70,184,171,,,,,,,,30.839,,ratings,four-factors
UC Santa Barbara,2026,BW,,18,13,3.4546,114.334,110.88,64.1524,-0.0576,-0.9228,,,,126,95,207,338,322,,,,,,,,36.7766,,ratings,four-factors
UCF,2026,B12,,20,10,15.1785,122.002,106.824,69.4339,0.0843,11.2712,,,,53,31,118,75,20,,,,,,,,31.0638,,ratings,four-factors
UCLA,2026,B10,,21,10,21.3043,123.839,102.535,64.4384,0.0149,11.6127,,,,28,19,51,328,146,,,,,,,,33.2598,,ratings,four-factors
UMBC,2026,AE,,22,8,-2.8626,107.631,110.494,66.2384,0.0477,-14.4372,,,,198,205,198,249,62,,,,,,,,33.1436,,ratings,four-factors
UMass Lowell,2026,AE,,15,17,-14.1239,102.751,116.875,69.2127,0.0182,-9.3969,,,,319,290,316,84,134,,,,,,,,35.6846,,ratings,four-factors
UNC Asheville,2026,BSth,,15,17,-6.664,105.001,111.665,64.847,-0.0164,-3.3382,,,,244,256,218,315,228,,,,,,,,39.9876,,ratings,four-factors
UNC Greensboro,2026,SC,,15,19,-12.1852,107.889,120.074,67.7235,0.0557,-5.7945,,,,299,196,348,159,53,,,,,,,,41.9935,,ratings,four-factors
UNC Wilmington,2026,CAA,,26,6,5.8646,112.083,106.219,65.1337,0.0278,-4.6883,,,,110,122,108,304,118,,,,,,,,41.6522,,ratings,four-factors
UNLV,2026,MWC,,16,15,6.3427,115.959,109.616,70.1084,-0.01,6.3448,,,,104,80,179,47,216,,,,,,,,41.6195,,ratings,four-factors
USC,2026,B10,,18,13,10.8391,114.118,103.278,70.576,0.0839,12.431,,,,77,99,62,30,23,,,,,,,,44.9085,,ratings,four-factors
USC Upstate,2026,BSth,,13,19,-12.389,99.1766,111.566,67.5805,0.0252,-5.2353,,,,302,337,216,173,123,,,,,,,,32.8134,,ratings,four-factors
UT Arlington,2026,WAC,,17,13,1.0074,102.996,101.989,64.9985,0.037,0.9121,,,,156,288,45,309,94,,,,,,,,42.7243,,ratings,four-factors
UT Rio Grande Valley,2026,Slnd,,18,13,3.8056,111.058,107.253,66.5265,-0.0434,-1.294,,,,124,139,127,229,300,,,,,,,,28.7385,,ratings,four-factors
UTEP,2026,CUSA,,11,20,-9.5738,101.081,110.655,65.5674,0.0105,-0.0488,,,,277,311,200,281,158,,,,,,,,33.3548,,ratings,four-factors
UTSA,2026,Amer,,5,25,-18.6535,99.7625,118.416,68.6712,-0.0013,1.7644,,,,340,327,333,112,186,,,,,,,,29.4565,,ratings,four-factors
Utah,2026,B12,,10,21,3.4519,114.648,111.197,66.1085,-0.0068,12.1608,,,,127,93,213,253,207,,,,,,,,31.856,,ratings,four-factors
Utah St.,2026,MWC,,25,6,19.6329,122.939,103.306,67.6954,0.0626,7.0453,,,,35,25,63,162,44,,,,,,,,38.5763,,ratings,four-factors
Utah Tech,2026,WAC,,18,14,-1.5388,110.96,112.499,66.0454,0.0957,1.1509,,,,184,140,242,256,17,,,,,,,,30.1297,,ratings,four-factors
Utah Valley,2026,WAC,,24,7,9.2969,113.562,104.265,69.0723,0.0417,-0.2865,,,,90,106,77,92,74,,,,,,,,37.3994,,ratings,four-factors
VCU,2026,A10,,24,7,16.8781,120.239,103.361,69.0298,-0.0188,3.4575,,,,45,46,64,97,235,,,,,,,,44.6231,,ratings,four-factors
VMI,2026,SC,,6,26,-26.214,98.8062,125.02,66.8116,-0.0111,-5.3464,,,,360,338,364,216,219,,,,,,,,30.5605,,ratings,four-factors
Valparaiso,2026,MVC,,18,15,0.9652,108.356,107.391,65.1987,0.0406,1.131,,,,159,185,130,301,81,,,,,,,,39.0718,,ratings,four-factors
Vanderbilt,2026,SEC,,24,7,26.4744,125.534,99.0599,69.5365,0.0199,13.2914,,,,13,15,27,71,129,,,,,,,,38.3849,,ratings,four-factors
Vermont,2026,AE,,21,11,-5.8962,107.316,113.213,64.9992,0.0001,-10.7696,,,,235,210,251,308,184,,,,,,,,31.7262,,ratings,four-factors
Villanova,2026,BE,,24,7,20.991,120.993,100.002,65.2455,0.0698,10.4765,,,,32,40,32,300,34,,,,,,,,31.5505,,ratings,four-factors
Virginia,2026,ACC,,27,4,25.2506,121.702,96.4518,65.8706,0.0714,8.5979,,,,20,34,16,269,33,,,,,,,,33.8821,,ratings,four-factors
Virginia Tech,2026,ACC,,19,12,14.0704,117.34,103.27,67.0887,0.0015,10.2033,,,,56,62,61,198,178,,,,,,,,33.8494,,ratings,four-factors
Wagner,2026,NEC,,14,17,-12.8197,102.707,115.527,65.5383,-0.0011,-8.8168,,,,306,292,299,283,185,,,,,,,,32.3474,,ratings,four-factors
Wake Forest,2026,ACC,,16,15,11.3739,116.828,105.454,68.3319,-0.0261,11.2224,,,,74,69,96,127,260,,,,,,,,34.8224,,ratings,four-factors
Washington,2026,B10,,15,16,14.984,117.197,102.213,67.1941,-0.1046,11.8757,,,,54,66,49,191,361,,,,,,,,30.1957,,ratings,four-factors
Washington St.,2026,WCC,,12,20,2.4051,114.136,111.731,67.885,-0.094,5.4497,,,,137,98,221,150,352,,,,,,,,30.1855,,ratings,four-factors
West Georgia,2026,ASun,,15,17,-12.5317,101.774,114.305,69.2604,0.0725,-6.3388,,,,304,307,276,82,32,,,,,,,,29.1998,,ratings,four-factors
West Virginia,2026,B12,,18,13,14.0594,111.224,97.1642,62.3908,-0.0333,9.0721,,,,57,135,19,363,282,,,,,,,,35.301,,ratings,four-factors
Western Carolina,2026,SC,,15,16,-5.4619,109.432,114.894,67.8569,-0.0148,-3.5836,,,,228,169,286,151,226,,,,,,,,31.2918,,ratings,four-factors
Western Illinois,2026,OVC,,5,26,-28.4655,93.0728,121.538,66.6468,-0.0524,-7.3704,,,,364,359,355,224,314,,,,,,,,37.7821,,ratings,four-factors
Western Kentucky,2026,CUSA,,18,13,0.3806,108.471,108.09,69.7536,0.0173,-0.6313,,,,167,183,141,64,137,,,,,,,,40.4894,,ratings,four-factors
Western Michigan,2026,MAC,,10,21,-9.232,107.901,117.133,67.7219,-0.0358,-0.9715,,,,273,195,318,160,293,,,,,,,,32.7926,,ratings,four-factors
Wichita St.,2026,Amer,,21,10,9.4314,113.078,103.647,66.3656,-0.0445,0.6469,,,,88,108,72,241,303,,,,,,,,36.3152,,ratings,four-factors
William & Mary,2026,CAA,,20,12,1.5678,111.218,109.65,72.6329,0.0245,-1.6784,,,,145,136,184,5,126,,,,,,,,44.0394,,ratings,four-factors
Winthrop,2026,BSth,,23,11,1.1869,111.848,110.661,70.0803,0.0251,-4.4165,,,,151,128,201,50,124,,,,,,,,44.0334,,ratings,four-factors
Wisconsin,2026,B10,,22,9,22.602,125.338,102.736,69.0559,0.0384,12.6319,,,,23,16,53,94,90,,,,,,,,32.9319,,ratings,four-factors
Wofford,2026,SC,,19,13,-7.2702,109.388,116.658,67.8898,0.0732,-7.247,,,,253,171,313,149,30,,,,,,,,36.2424,,ratings,four-factors
Wright St.,2026,Horz,,21,11,1.6228,112.358,110.735,66.9131,-0.0049,-3.8352,,,,144,118,204,210,197,,,,,,,,37.1641,,ratings,four-factors
Wyoming,2026,MWC,,18,13,7.638,115.416,107.778,66.2859,-0.0094,4.1488,,,,98,82,136,245,215,,,,,,,,35.8989,,ratings,four-factors
Xavier,2026,BE,,14,17,7.6989,116.57,108.871,70.1932,-0.0033,11.1566,,,,97,73,161,42,194,,,,,,,,27.2219,,ratings,four-factors
Yale,2026,Ivy,,23,5,10.7694,120.415,109.646,64.8168,0.0643,-1.12,,,,78,45,182,317,41,,,,,,,,36.3331,,ratings,four-factors
Youngstown St.,2026,Horz,,15,17,-3.9387,105.701,109.64,67.2981,-0.0921,-3.4818,,,,214,240,181,187,351,,,,,,,,31.4183,,ratings,four-factors
